1012	3233
1011	3065
1009	2888
1008	2666
985	3149
1175	1450
1184	3534
984	4517
1183	4711
1182	4138
1181	3884
1180	3755
1179	5448
1178	3034
1177	2603
1174	2588
1173	5209
1172	5964
1171	3012
1199	4232
1198	5332
1197	2314
1170	1677
1196	1930
1195	4156
1200	1876
1194	2891
1193	8080
1190	1201
1188	2569
1187	2165
1186	2138
1185	2769
1189	1516
1192	1572
1191	4714
1075	3100
1074	2366
1073	3265
1072	2756
1068	3206
1067	3873
1066	3862
1065	6344
1279	2098
1280	2718
1281	2371
1289	5638
1290	4391
1291	3920
1292	2295
1293	3053
1294	3227
1295	5289
1296	2585
1297	3843
1298	2764
1299	1630
1300	3496
1301	2974
1302	3574
1303	4753
1748	3312
1749	5363
1750	6891
1751	3693
1752	2164
1753	4767
1754	3778
1755	5159
1762	3736
1763	1387
1764	8342
1765	4583
1766	3783
1767	4131
1768	3024
1769	7494
1770	5392
1771	5946
1772	3355
1788	6027
1789	4255
1790	8174
1791	6853
1792	6483
1793	4614
1794	3256
1795	3873
1801	4679
1802	2481
1803	8371
1804	4079
1805	4469
1756	2134
1757	4262
1773	3515
1774	3470
1800	3296
1806	3289
1807	3886
1808	1705
1809	4733
1743	4433
1744	3253
1745	3805
1746	4597
1747	5794
1863	1540
1862	2251
1861	3040
1860	1450
1859	1343
1858	2573
303	625
304	1442
305	3195
306	3599
1167	2373
1168	1776
1169	2793
1155	1350
1156	2831
1157	2684
1158	2600
1159	5553
1160	2234
1161	3563
1162	2254
1163	6564
1164	6360
1165	11365
1166	5616
227	1736
228	2721
229	2142
230	1497
231	1418
232	4738
233	2515
234	1767
235	1531
236	1297
891	3578
890	5423
889	9926
888	4396
880	3005
879	3271
878	3008
877	3825
876	2221
856	3974
855	2095
847	1432
846	1764
845	1662
844	4341
827	2972
826	4013
825	1403
824	1734
823	1663
818	1701
817	3363
816	1385
978	4926
977	1316
974	3041
973	2706
972	3157
971	4839
970	2051
966	1494
965	3147
964	2015
960	2236
959	2450
958	1901
950	4946
949	2043
948	4425
947	2215
938	3102
937	3132
936	1800
930	3531
929	2883
928	2077
927	2062
957	4377
956	4875
955	4015
946	2497
945	2135
926	4554
918	2019
917	3267
916	1827
915	1964
907	3880
906	2138
905	5310
904	1967
944	2702
935	2598
934	2759
925	3439
924	2503
903	2554
